ReqID,Oid,Did,ReqTime,Size
1,72,1501,0,1
2,1049,1841,0,1
3,1018,1214,1,1
4,728,937,1,1
5,2393,1107,1,1
6,1839,1621,2,2
8,8,1185,2,1
9,1077,3942,3,1
10,2530,3465,3,1
11,1949,3942,3,2
12,2499,2260,3,2
13,1288,1188,4,1
14,657,345,4,1
16,3052,2658,5,1
17,1232,1166,5,1
18,549,1146,5,1
19,2539,870,6,1
20,1889,2285,7,1
22,1819,55,7,1
23,1049,734,8,1
24,1910,1969,8,1
25,2831,2499,10,1
27,2239,1088,10,3
28,1837,502,10,1
29,1832,1541,10,1
30,2342,2494,11,1
31,1635,1793,11,2
32,2285,2402,11,1
33,910,3942,12,2
34,2213,1889,12,3
35,219,2319,12,1
36,884,1045,13,1
38,2025,2203,13,1
39,1367,1188,13,1
40,2382,1880,15,1
41,915,565,15,1
42,1285,1609,15,2
44,1257,2047,16,1
45,2470,2084,17,2
48,1735,2097,18,1
49,2437,2583,18,1
50,2845,3562,18,1
52,1914,2465,19,2
53,2274,770,20,1
54,2016,2109,21,1
55,2756,2640,21,1
56,1681,1919,21,1
57,2224,1371,21,1
58,1395,48,21,1
59,449,1668,22,1
60,901,2770,23,1
61,1801,1179,23,2
62,2384,1349,24,1
63,1828,785,25,1
64,2294,1905,25,2
65,996,1691,26,1
66,2373,817,26,1
67,265,1100,26,1
68,2537,1359,26,1
69,1174,611,26,1
70,1360,803,27,1
71,1197,697,27,1
72,3053,3580,28,1
73,1485,32,28,1
75,1185,1792,28,2
76,2459,2257,28,1
77,1562,3942,28,1
79,230,1212,30,1
80,2190,1804,30,2
81,2014,836,30,3
82,1112,2537,31,1
84,1783,1708,31,1
85,2684,2459,32,1
86,2752,2435,32,1
87,1929,2840,32,2
88,1862,1703,32,1
89,2008,2124,33,2
90,2529,1536,34,3
91,768,1273,34,1
93,1067,876,34,1
94,1872,1059,35,1
95,1799,2023,35,1
96,1679,2077,35,2
97,1996,1060,36,1
98,2109,1545,36,1
99,2539,2661,37,2
100,1059,706,37,1
103,1361,1726,38,1
104,1308,447,39,1
105,147,1811,39,1
107,437,316,39,1
108,2561,162,39,1
109,1232,361,39,1
111,1088,1121,40,2
112,1744,2118,40,1
113,1501,2676,40,1
114,1677,1983,40,2
115,1454,1964,41,1
116,952,915,41,1
117,1451,669,41,2
118,1769,2192,42,1
119,627,3942,42,1
120,891,1737,42,1
122,177,505,44,1
123,1040,1217,44,2
125,1081,1995,44,2
126,2257,459,45,1
128,1197,1710,45,1
130,1097,901,46,1
131,1036,2206,47,1
133,1251,1797,47,1
134,1759,271,47,1
135,903,1811,47,1
136,1620,1819,47,1
138,1431,1232,49,1
139,2848,2630,49,1
140,1546,1862,50,1
141,1933,628,50,1
142,1154,1873,50,1
144,2123,2896,50,1
145,1559,774,51,1
147,605,1016,52,1
148,943,422,53,1
149,1124,1867,53,1
151,916,1066,53,2
153,1874,1654,54,3
154,1262,1465,54,3
155,1124,2384,54,1
156,2583,3179,54,2
157,1578,1839,54,1
159,1923,1081,56,1
162,367,1510,57,1
163,1572,1217,57,1
164,1682,1614,57,1
165,746,1874,57,1
166,2534,2321,59,1
168,1969,3942,60,1
169,1098,677,60,1
170,2490,3942,60,2
171,1689,1570,61,1
172,1204,1839,61,1
173,2859,2370,61,1
174,586,817,61,1
175,1507,1907,62,2
176,1784,585,63,1
177,1393,1819,63,1
178,2542,2383,63,2
179,2516,1107,63,2
180,327,1630,63,1
181,447,641,63,1
182,1380,3942,63,1
183,1610,2680,64,1
184,1168,1791,64,1
185,1059,511,64,1
186,2990,2719,65,1
187,2858,2441,65,1
188,1112,3942,65,1
190,896,963,65,1
191,1207,1419,65,1
192,2695,1525,65,1
193,2674,3271,65,2
194,1030,1204,66,1
195,1021,2739,66,2
196,3053,2116,66,1
197,2596,2520,66,1
198,765,862,66,1
199,267,583,66,1
200,1552,1758,67,1
201,1195,833,67,1
202,2699,2176,67,1
204,1910,1791,69,3
205,853,1668,69,2
206,2731,1905,69,1
207,3942,3276,69,1
208,1715,3942,69,2
210,1655,1578,70,1
211,1834,3506,71,1
212,2495,1649,71,2
213,943,1497,72,1
215,1779,2144,73,1
216,1051,2443,73,1
217,178,408,74,2
218,1166,398,74,1
219,2049,2457,74,1
221,2046,2511,74,1
222,1091,3276,74,1
223,2792,3110,75,1
225,812,898,75,1
227,796,2579,75,1
228,2792,2137,75,1
232,2203,2822,77,1
233,1101,2432,77,1
235,1154,2039,78,1
236,2350,1843,79,1
237,2224,2372,79,1
238,3156,2201,79,1
239,2078,1146,79,1
240,1393,1769,80,2
241,1190,1451,81,2
242,26,2324,81,1
243,2458,3990,81,1
244,769,1432,81,1
245,2125,1100,81,1
246,973,1303,82,1
248,2723,4087,83,2
249,851,821,83,1
250,2206,2447,83,1
251,2769,387,83,1
253,1497,1303,84,1
254,2280,1642,84,1
255,2428,1081,84,1
256,1723,1375,84,1
258,1793,1107,85,1
259,1867,1875,85,1
260,2432,1525,86,1
261,2764,2439,87,1
262,3218,2539,87,1
263,1759,1188,87,1
264,1861,1081,88,1
265,3273,2800,89,1
266,1655,2206,89,2
267,2143,2678,89,1
268,1195,1614,90,1
269,770,1051,90,2
270,2439,2124,90,1
271,2366,2231,90,1
272,1643,2439,91,1
273,399,1627,91,2
274,952,853,91,1
276,1546,2680,93,1
277,2225,1059,93,1
278,22,300,95,2
279,1657,1819,95,1
280,2041,3942,95,1
281,2931,2792,95,1
283,3084,2192,95,1
284,1249,1903,97,1
285,2916,2109,97,1
286,2494,2121,98,1
287,2150,2718,99,1
289,2269,2537,101,1
290,2306,2695,101,1
291,1614,1447,103,1
292,746,1299,105,1
293,1502,1335,105,1
294,2467,2511,105,1
296,290,1242,107,1
297,243,698,107,1
298,2124,1539,107,1
300,623,819,108,1
304,1698,704,108,1
305,1609,1892,109,2
306,2680,1424,110,1
307,3837,2761,110,1
310,1386,2754,110,1
311,1334,745,110,1
312,331,2118,110,1
313,1525,1648,111,2
314,3006,3026,111,1
315,1769,558,111,2
316,1208,1423,112,2
318,2771,2467,112,1
319,2025,1564,112,1
320,2115,1184,112,1
322,2714,159,114,1
323,449,1745,114,1
325,1203,1545,114,2
326,1716,901,115,1
327,819,644,115,1
328,862,176,116,1
329,952,1454,116,1
330,2338,2595,116,1
331,980,1684,116,1
333,1484,1261,116,1
336,2948,1797,118,1
338,389,283,120,1
339,1881,2195,120,1
341,2177,1086,121,1
342,262,452,122,1
343,219,1257,123,1
345,2124,2494,124,1
346,735,1193,124,1
347,561,1804,125,1
348,2499,2430,125,1
349,1284,2467,125,1
350,1545,1023,125,2
351,913,1541,125,3
352,2625,1363,125,1
353,201,1242,125,1
354,277,2055,126,1
355,1059,1324,127,1
356,1181,3942,128,1
357,2497,2232,128,1
358,2170,2377,128,2
359,932,1794,129,2
360,1356,1232,129,2
361,19,316,130,2
362,803,1087,130,1
363,404,1044,130,1
364,2432,2222,131,1
365,1932,1562,131,1
366,2482,2561,131,1
367,1369,1059,131,1
368,2046,3300,131,1
369,696,2769,132,1
370,1562,471,132,1
371,2942,2552,132,1
372,1881,1154,132,1
373,1682,1039,132,1
374,2244,2363,133,1
376,2967,2701,134,1
377,1403,2310,134,1
378,2070,2187,134,1
379,1779,2486,134,1
380,1039,2377,134,1
381,1527,2177,134,1
382,2389,2135,134,1
383,2559,1735,134,1
384,1841,2848,135,2
385,2816,1680,135,1
387,1206,1915,136,1
388,745,796,136,2
389,501,1247,137,1
390,1090,1859,137,1
391,2199,1668,137,1
392,928,1167,138,1
393,18,295,139,3
394,1292,278,139,1
395,1059,15,140,2
397,1446,485,140,1
398,2475,2391,140,1
399,973,769,141,2
400,675,3942,141,1
401,1004,3942,142,2
403,1456,1969,143,1
404,715,723,144,1
406,2324,2357,144,1
407,985,1239,144,1
408,1259,325,144,1
409,1789,1242,146,2
410,1919,1561,146,1
411,3160,3411,146,1
412,949,1947,146,1
413,481,1700,146,1
414,2388,2886,147,1
415,1239,1910,147,2
416,2064,926,147,1
417,1395,1811,147,1
418,1799,865,148,1
419,865,952,148,2
421,851,1161,148,2
422,2309,2484,148,1
423,1622,2,148,1
424,825,1145,149,1
425,1688,750,149,1
426,1048,826,150,1
427,952,2754,150,2
429,857,1089,151,1
431,596,865,151,1
432,874,1600,152,2
433,1185,1840,152,1
434,1028,2140,152,1
435,725,2252,153,1
437,1043,1503,153,1
439,2611,1880,153,1
440,1724,1557,153,2
441,1059,1193,154,1
442,2535,2124,154,1
443,2025,2497,155,1
444,936,163,155,1
445,833,1474,155,1
446,853,1049,156,2
447,1596,2173,157,1
448,3003,2865,157,1
450,1568,1028,158,1
451,2060,963,158,1
452,152,734,158,2
453,2372,2552,158,1
454,2576,1878,158,1
455,1852,2860,159,1
456,1257,770,159,1
458,366,447,159,1
459,443,442,159,1
460,1055,2048,159,1
463,2659,3053,160,3
464,865,1098,160,1
466,2193,1925,161,1
467,2923,2324,161,1
468,2437,1862,161,1
469,284,3942,161,3
470,2579,2929,163,1
471,3431,546,164,1
472,1598,3027,164,2
475,1704,2032,165,1
476,980,610,165,1
477,2769,3071,165,1
478,1065,2064,167,1
480,297,1051,169,1
481,1971,1511,169,1
482,1074,2072,170,1
483,1892,1811,170,2
484,769,3008,170,1
485,2096,2753,170,1
486,70,1041,170,1
487,3352,2483,170,1
488,2314,1301,170,1
491,1043,2427,172,1
492,857,1501,172,1
493,1881,1846,172,1
494,22,17,173,1
496,1773,1489,174,3
497,2377,2590,174,1
499,2125,1670,175,1
500,2491,1957,175,1
501,1593,2118,175,1
502,544,1851,175,2
503,1176,2165,176,1
504,1319,2039,176,1
506,1283,41,177,1
507,1473,881,177,1
510,1587,1859,178,1
511,1229,2753,178,2
513,1242,1081,180,1
514,1971,1915,181,1
515,1059,1768,181,2
516,2321,2330,182,1
517,2445,738,182,1
519,1466,1393,183,1
520,2186,2628,184,2
522,1136,1872,184,1
523,1403,1863,184,1
524,2333,3681,185,1
525,708,1840,185,2
527,2201,1166,186,1
528,825,2263,186,1
529,2824,2491,186,1
530,1154,1911,186,1
532,2840,936,187,1
533,1004,1590,187,1
535,1648,1107,188,1
